111
1	0.003200
2	0.001600
3	0.002200
4	0.000400
5	0.003300
6	0.000300
7	0.000300
8	0.000300
9	0.002200
10	0.000300
11	0.002200
12	0.003300
13	0.003300
14	0.003300
15	0.002200
16	0.002200
17	0.002200
18	0.000000
19	0.001600
20	0.001600
21	0.003700
22	0.002200
23	0.003200
24	0.003200
25	0.002800
26	0.000000
27	0.003300
28	0.002200
29	0.005700
30	0.004200
31	0.001700
32	0.005700
33	0.001300
34	0.002800
35	0.003300
36	0.003300
37	0.003300
38	0.003300
39	0.002200
40	0.003300
41	0.004000
42	0.004000
43	0.004000
44	0.002800
45	0.003700
46	0.003700
47	0.002200
48	0.002200
49	0.002200
50	0.002200
51	0.002200
52	0.003500
53	0.004000
54	0.004000
55	0.004000
56	0.009100
57	0.004800
58	0.004000
59	0.004600
60	0.005100
61	0.004000
62	0.002100
63	0.005100
64	0.009100
65	0.003300
66	0.002000
67	0.002900
68	0.001600
69	0.002000
70	0.002300
71	0.001000
72	0.003600
73	0.003200
74	0.007400
75	0.007900
76	0.007900
77	0.006700
78	0.007100
79	0.003100
80	0.005900
81	0.004900
82	0.004900
83	0.005800
84	0.003900
85	0.004300
86	0.004100
87	0.001700
88	0.001000
89	0.001100
90	0.003000
91	0.002300
92	0.004800
93	0.000400
94	0.000300
95	0.000300
96	0.000300
97	0.000300
98	0.002500
99	0.002200
100	0.000400
101	0.000400
102	0.000800
103	0.003300
104	0.000300
105	0.009100
106	0.000300
107	0.000300
108	0.000300
109	0.000400
110	0.003300
192	0.003300
