OBJECTID	ICNUM	CPNM	IDC	CROPNAME	BIO_E	HVSTI	BLAI	FRGRW1	LAIMX1	FRGRW2	LAIMX2	DLAI	CHTMX	RDMX	T_OPT	T_BASE	CNYLD	CPYLD	BN1	BN2	BN3	BP1	BP2	BP3	WSYF	USLE_C	GSI	VPDFR	FRGMAX	WAVP	CO2HI	BIOEHI	RSDCO_PL	OV_N	CN2A	CN2B	CN2C	CN2D	FERTFIELD	ALAI_MIN	BIO_LEAF	MAT_YRS	BMX_TREES	EXT_COEF	BM_DIEOFF	OpSchedule
62	62	FPEA	2	Field Peas	25.00	0.45	4.00	0.15	0.01	0.50	0.95	0.75	1.20	1.20	15.00	1.00	0.03	2.1e-03	0.05	0.03	0.02	3.3e-03	1.9e-03	1.4e-03	0.10	0.01	5.0e-03	4.00	0.75	10.00	660.00	30.00	0.05	0.14	67.00	77.00	83.00	87.00	1	0.00	0.00	0.00	0.00	0.65	0.10	AGRR
63	63	PEAS	2	Garden or Canning Peas	25.00	0.30	2.50	0.10	0.05	0.80	0.95	0.60	0.60	1.20	14.00	5.00	0.04	5.1e-03	4.0e-03	3.0e-03	1.5e-03	3.0e-03	2.0e-03	1.5e-03	0.22	0.20	5.0e-03	4.00	0.75	5.00	660.00	34.00	0.05	0.14	67.00	77.00	83.00	87.00	1	0.00	0.00	0.00	0.00	0.65	0.10	AGRR
64	64	SESB	1	Sesbania	50.00	0.31	5.00	0.15	0.01	0.50	0.95	0.90	2.00	2.00	25.00	10.00	0.06	9.1e-03	0.05	0.02	0.01	7.4e-03	3.7e-03	3.5e-03	0.01	0.20	5.0e-03	4.00	0.75	10.00	660.00	60.00	0.05	0.14	67.00	77.00	83.00	87.00	0	0.00	0.00	0.00	0.00	0.65	0.10	AGRR
65	65	FLAX	5	Flax	25.00	0.54	2.50	0.15	0.02	0.50	0.95	0.90	1.20	1.50	22.50	5.00	0.04	3.3e-03	0.04	0.02	0.02	4.9e-03	2.4e-03	2.3e-03	0.40	0.20	5.0e-03	4.00	0.75	10.00	660.00	33.00	0.05	0.14	62.00	73.00	81.00	84.00	1	0.00	0.00	0.00	0.00	0.65	0.10	AGRR
66	66	COTS	4	Upland Cotton-harvested with	15.00	0.50	4.00	0.15	0.01	0.50	0.95	0.95	1.00	2.50	30.00	15.00	0.01	2.0e-03	0.05	0.01	0.01	8.1e-03	2.7e-03	2.5e-03	0.40	0.20	9.0e-03	4.00	0.75	3.00	660.00	19.00	0.05	0.14	67.00	77.00	83.00	87.00	1	0.00	0.00	0.00	0.00	0.65	0.10	AGRR
67	67	COTP	4	Upland Cotton-harvested with	15.00	0.40	4.00	0.15	0.01	0.50	0.95	0.95	1.00	2.50	30.00	15.00	0.01	2.9e-03	0.05	0.01	0.01	8.1e-03	2.7e-03	2.5e-03	0.30	0.20	9.0e-03	4.00	0.75	3.00	660.00	19.00	0.05	0.14	67.00	77.00	83.00	87.00	1	0.00	0.00	0.00	0.00	0.65	0.10	AGRR
68	68	TOBC	4	Tobacco	39.00	0.55	4.50	0.15	0.05	0.50	0.95	0.70	1.80	2.00	25.00	10.00	0.01	1.6e-03	0.04	0.01	0.01	4.8e-03	1.8e-03	1.4e-03	0.55	0.20	5.0e-03	4.00	0.75	8.00	660.00	44.00	0.05	0.14	67.00	77.00	83.00	87.00	1	0.00	0.00	0.00	0.00	0.65	0.10	AGRR
69	69	SGBT	4	Sugarbeet	30.00	2.00	5.00	0.05	0.05	0.50	0.95	0.60	1.20	2.00	18.00	4.00	0.01	2.0e-03	0.05	0.02	0.01	6.0e-03	2.5e-03	1.9e-03	1.10	0.20	7.0e-03	4.00	0.75	10.00	660.00	35.00	0.05	0.14	67.00	77.00	83.00	87.00	1	0.00	0.00	0.00	0.00	0.65	0.10	AGRR
70	70	POTA	5	Potato	25.00	0.95	4.00	0.15	0.01	0.50	0.95	0.60	0.60	0.60	22.00	7.00	0.02	2.3e-03	0.05	0.02	0.01	6.0e-03	2.5e-03	1.9e-03	0.95	0.20	5.0e-03	4.00	0.75	14.80	660.00	30.00	0.05	0.14	67.00	77.00	83.00	87.00	1	0.00	0.00	0.00	0.00	0.65	0.10	AGRR
71	71	SPOT	4	Sweetpotato	15.00	0.60	4.00	0.15	0.01	0.50	0.95	0.60	0.80	2.00	24.00	14.00	9.7e-03	1.0e-03	0.04	0.01	9.0e-03	4.5e-03	1.9e-03	1.5e-03	0.40	0.05	6.0e-03	4.00	0.75	3.00	660.00	19.00	0.05	0.14	67.00	77.00	83.00	87.00	1	0.00	0.00	0.00	0.00	0.65	0.10	AGRR
72	72	CRRT	5	Carrot	30.00	1.12	3.50	0.15	0.01	0.50	0.95	0.60	0.30	1.20	24.00	7.00	0.01	3.6e-03	0.05	7.5e-03	1.2e-03	6.0e-03	3.0e-03	2.0e-03	0.90	0.20	6.0e-03	4.00	0.75	10.00	660.00	35.00	0.05	0.14	67.00	77.00	83.00	87.00	1	0.00	0.00	0.00	0.00	0.65	0.10	AGRR
129	129	MIGS	6	MIXED GRASSLAND/SHRUBLAND	34.00	0.90	2.25	0.05	0.10	0.25	0.70	0.35	1.00	2.00	25.00	12.00	0.01	2.2e-03	0.02	0.01	5.0e-03	1.4e-03	1.0e-03	7.0e-04	0.90	3.0e-03	5.0e-03	4.00	0.75	10.00	660.00	39.00	0.05	0.15	44.00	65.00	76.50	82.00	0	0.00	0.00	0.00	0.00	0.00	0.00	RNGE
130	130	SAVA	6	SAVANNA	34.00	0.90	2.00	0.05	0.10	0.25	0.70	0.35	1.00	2.00	25.00	12.00	0.01	2.2e-03	0.02	0.01	5.0e-03	1.4e-03	1.0e-03	7.0e-04	0.90	3.0e-03	5.0e-03	4.00	0.75	10.00	660.00	39.00	0.05	0.15	44.00	65.00	76.50	82.00	0	0.00	0.00	0.00	0.00	0.00	0.00	RNGB
131	131	FODB	7	DECIDUOUS BROADLEAF FOREST	15.00	0.76	5.00	0.05	0.05	0.40	0.95	0.99	6.00	3.50	30.00	10.00	1.5e-03	3.0e-04	6.0e-03	2.0e-03	1.5e-03	7.0e-04	4.0e-04	3.0e-04	0.01	1.0e-03	2.0e-03	4.00	0.75	8.00	660.00	16.00	0.05	0.10	45.00	66.00	77.00	83.00	0	0.75	0.30	0.00	0.00	0.00	0.00	FRSD
132	132	FODN	7	DECIDUOUS NEEDLELEAF FOREST	15.00	0.76	5.00	0.05	0.05	0.40	0.95	0.99	6.00	3.50	30.00	10.00	1.5e-03	3.0e-04	6.0e-03	2.0e-03	1.5e-03	7.0e-04	4.0e-04	3.0e-04	0.01	1.0e-03	2.0e-03	4.00	0.75	8.00	660.00	16.00	0.05	0.10	45.00	66.00	77.00	83.00	0	0.75	0.30	0.00	0.00	0.00	0.00	FRSD
133	133	FOEB	7	EVERGREEN BROADLEAF FOREST	15.00	0.76	5.00	0.15	0.70	0.25	0.99	0.99	10.00	3.50	30.00	0.00	1.5e-03	3.0e-04	6.0e-03	2.0e-03	1.5e-03	7.0e-04	4.0e-04	3.0e-04	0.60	1.0e-03	2.0e-03	4.00	0.75	8.00	660.00	16.00	0.05	0.10	25.00	55.00	70.00	77.00	0	0.75	0.30	0.00	0.00	0.00	0.00	FRSE
134	134	FOEN	7	EVERGREEN NEEDLELEAF FOREST	15.00	0.76	5.00	0.15	0.70	0.25	0.99	0.99	10.00	3.50	30.00	0.00	1.5e-03	3.0e-04	6.0e-03	2.0e-03	1.5e-03	7.0e-04	4.0e-04	3.0e-04	0.60	1.0e-03	2.0e-03	4.00	0.75	8.00	660.00	16.00	0.05	0.10	25.00	55.00	70.00	77.00	0	0.75	0.30	0.00	0.00	0.00	0.00	FRSE
135	135	FOMI	7	MIXED FOREST	15.00	0.76	5.00	0.05	0.05	0.40	0.95	0.99	6.00	3.50	30.00	10.00	1.5e-03	3.0e-04	6.0e-03	2.0e-03	1.5e-03	7.0e-04	4.0e-04	3.0e-04	0.01	1.0e-03	2.0e-03	4.00	0.75	8.00	660.00	16.00	0.05	0.10	36.00	60.00	73.00	79.00	0	0.75	0.30	0.00	0.00	0.00	0.00	FRST
136	136	WATB	6	WATER BODIES	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	92.00	92.00	92.00	92.00	0	0.00	0.00	0.00	0.00	0.00	0.00	WATR
137	137	WEHB	6	HERBACEOUS WETLAND	47.00	0.90	6.00	0.10	0.20	0.20	0.95	0.70	2.50	2.20	25.00	12.00	0.01	2.2e-03	0.03	0.01	3.8e-03	1.4e-03	1.0e-03	7.0e-04	0.90	3.0e-03	5.0e-03	4.00	0.75	8.50	660.00	54.00	0.05	0.05	49.00	69.00	79.00	84.00	0	0.00	0.00	0.00	0.00	0.00	0.00	WETN
138	138	WEWO	7	WOODED WETLAND	15.00	0.76	5.00	0.05	0.05	0.40	0.95	0.99	6.00	3.50	30.00	10.00	1.5e-03	3.0e-04	6.0e-03	2.0e-03	1.5e-03	7.0e-04	4.0e-04	3.0e-04	0.01	1.0e-03	2.0e-03	4.00	0.75	8.00	660.00	16.00	0.05	0.05	45.00	66.00	77.00	83.00	0	0.00	0.00	0.00	0.00	0.00	0.00	WETF
139	139	BSVG	6	BAREN OR SPARSLY VEGETATED	34.00	0.90	1.50	0.05	0.10	0.25	0.70	0.35	1.00	2.00	25.00	12.00	0.01	2.2e-03	0.02	0.01	5.0e-03	1.4e-03	1.0e-03	7.0e-04	0.90	3.0e-03	5.0e-03	4.00	0.75	10.00	660.00	39.00	0.05	0.15	39.00	61.00	74.00	80.00	0	0.00	0.00	0.00	0.00	0.00	0.00	SWRN
140	140	TUHB	6	HERBACEOUS TUNDRA	30.00	0.90	3.00	0.35	0.02	0.62	0.95	0.80	1.10	1.30	15.00	0.00	0.02	3.7e-03	0.02	0.01	0.01	4.0e-03	4.0e-03	2.4e-03	0.90	0.03	5.0e-03	4.00	0.75	8.00	660.00	46.00	0.05	0.10	31.00	59.00	72.00	79.00	0	0.00	0.00	0.00	0.00	0.00	0.00	SWRN
141	141	TUWO	6	WOODED TUNDRA	32.00	0.90	2.50	0.20	0.06	0.44	0.83	0.58	1.05	1.65	15.00	0.00	0.01	3.0e-03	0.02	0.01	9.5e-03	2.7e-03	2.5e-03	1.6e-03	0.90	0.01	5.0e-03	4.00	0.75	9.00	660.00	42.50	0.05	0.13	35.00	60.00	73.00	79.50	0	0.00	0.00	0.00	0.00	0.00	0.00	FRST
142	142	TUMI	6	MIXED TUNDRA	32.00	0.90	2.25	0.20	0.06	0.44	0.83	0.58	1.05	1.65	15.00	0.00	0.01	3.0e-03	0.02	0.01	9.5e-03	2.7e-03	2.5e-03	1.6e-03	0.90	0.01	5.0e-03	4.00	0.75	9.00	660.00	42.50	0.05	0.13	35.00	60.00	73.00	79.50	0	0.00	0.00	0.00	0.00	0.00	0.00	SWRN
143	143	TUBG	6	BARE GROUND TUNDRA	32.00	0.90	2.25	0.20	0.06	0.44	0.83	0.58	1.05	1.65	15.00	0.00	0.01	3.0e-03	0.02	0.01	9.5e-03	2.7e-03	2.5e-03	1.6e-03	0.90	0.01	5.0e-03	4.00	0.75	9.00	660.00	42.50	0.05	0.13	35.00	60.00	73.00	79.50	0	0.00	0.00	0.00	0.00	0.00	0.00	SWRN
144	144	ICES	6	SNOW OR ICE	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	92.00	92.00	92.00	92.00	0	0.00	0.00	0.00	0.00	0.00	0.00	WATR
73	73	ONIO	5	Onion	30.00	1.25	1.50	0.15	0.01	0.50	0.95	0.60	0.50	0.60	19.00	7.00	0.02	3.2e-03	0.04	0.03	2.0e-03	2.1e-03	2.0e-03	1.9e-03	0.95	0.20	6.0e-03	4.00	0.75	10.00	660.00	35.00	0.05	0.14	67.00	77.00	83.00	87.00	1	0.00	0.00	0.00	0.00	0.65	0.10	AGRR
74	74	SUNF	4	Sunflower	46.00	0.30	3.00	0.15	0.01	0.50	0.95	0.62	2.50	2.00	25.00	6.00	0.04	7.4e-03	0.05	0.02	0.01	6.3e-03	2.9e-03	2.3e-03	0.18	0.20	8.0e-03	4.00	0.75	32.30	660.00	59.00	0.05	0.14	67.00	77.00	83.00	87.00	1	0.00	0.00	0.00	0.00	0.90	0.10	AGRR
75	75	CANP	4	Spring Canola-Polish	34.00	0.23	3.50	0.15	0.02	0.45	0.95	0.50	0.90	0.90	21.00	5.00	0.03	7.9e-03	0.04	0.01	0.01	7.4e-03	3.7e-03	2.3e-03	0.01	0.20	6.0e-03	4.00	0.75	10.00	660.00	39.00	0.05	0.14	67.00	77.00	83.00	87.00	1	0.00	0.00	0.00	0.00	0.65	0.10	AGRR
76	76	CANA	4	Spring Canola-Argentine	34.00	0.30	4.50	0.15	0.02	0.45	0.95	0.50	1.30	1.40	21.00	5.00	0.03	7.9e-03	0.04	0.01	0.01	7.4e-03	3.7e-03	2.3e-03	0.01	0.20	6.0e-03	4.00	0.75	10.00	660.00	40.00	0.05	0.14	67.00	77.00	83.00	87.00	1	0.00	0.00	0.00	0.00	0.65	0.10	AGRR
77	77	ASPR	6	Asparagus	90.00	0.80	4.20	0.25	0.23	0.40	0.86	1.00	0.50	2.00	24.00	10.00	0.06	6.7e-03	0.06	0.05	0.04	5.0e-03	4.0e-03	2.0e-03	0.95	0.20	6.0e-03	4.00	0.75	5.00	660.00	95.00	0.05	0.30	63.00	74.00	82.00	85.00	1	0.00	0.00	0.00	0.00	0.65	0.10	AGRR
78	78	BROC	5	Broccoli	26.00	0.80	4.20	0.25	0.23	0.40	0.86	1.00	0.50	0.60	18.00	4.00	0.05	7.1e-03	0.06	9.0e-03	7.0e-03	5.0e-03	4.0e-03	3.0e-03	0.95	0.20	6.0e-03	4.00	0.75	5.00	660.00	30.00	0.05	0.16	67.00	77.00	83.00	87.00	1	0.00	0.00	0.00	0.00	0.65	0.10	AGRR
79	79	CABG	6	Cabbage	19.00	0.80	3.00	0.25	0.23	0.40	0.86	1.00	0.50	0.60	18.00	1.00	0.02	3.1e-03	0.06	7.0e-03	4.0e-03	5.0e-03	3.5e-03	2.0e-03	0.95	0.20	6.0e-03	4.00	0.75	5.00	660.00	25.00	0.05	0.14	67.00	77.00	83.00	87.00	1	0.00	0.00	0.00	0.00	0.65	0.10	AGRR
80	80	CAUF	5	Cauliflower	21.00	0.80	2.50	0.25	0.23	0.40	0.86	1.00	0.50	0.60	18.00	5.00	0.04	5.9e-03	0.06	7.0e-03	4.0e-03	5.0e-03	3.5e-03	2.0e-03	0.95	0.20	6.0e-03	4.00	0.75	5.00	660.00	25.00	0.05	0.14	67.00	77.00	83.00	87.00	1	0.00	0.00	0.00	0.00	0.65	0.10	AGRR
81	81	CELR	6	Celery	27.00	0.80	2.50	0.25	0.23	0.40	0.86	1.00	0.50	0.60	22.00	4.00	0.01	4.9e-03	0.06	0.01	0.01	6.0e-03	5.0e-03	3.0e-03	0.95	0.20	6.0e-03	4.00	0.75	5.00	660.00	30.00	0.05	0.14	67.00	77.00	83.00	87.00	1	0.00	0.00	0.00	0.00	0.65	0.10	AGRR
82	82	LETT	5	Head Lettuce	23.00	0.80	4.20	0.25	0.23	0.40	0.86	1.00	0.20	0.60	18.00	7.00	0.03	4.9e-03	0.03	0.02	0.02	8.4e-03	3.2e-03	1.9e-03	0.01	0.01	3.0e-03	4.00	0.75	8.00	660.00	25.00	0.05	0.14	67.00	77.00	83.00	87.00	1	0.00	0.00	0.00	0.00	0.65	0.10	AGRR
83	83	SPIN	5	Spinach	30.00	0.95	4.20	0.10	0.05	0.90	0.95	0.95	0.50	0.60	24.00	4.00	0.05	5.8e-03	0.06	0.04	0.03	5.0e-03	4.0e-03	3.5e-03	0.95	0.20	6.0e-03	4.00	0.75	5.00	660.00	35.00	0.05	0.14	67.00	77.00	83.00	87.00	1	0.00	0.00	0.00	0.00	0.65	0.10	AGRR
84	84	GRBN	1	Green Beans	25.00	0.10	1.50	0.10	0.05	0.80	0.95	0.90	0.60	1.20	19.00	10.00	0.02	3.9e-03	4.0e-03	3.0e-03	1.5e-03	4.0e-03	3.5e-03	1.5e-03	0.10	0.20	8.0e-03	4.00	0.75	5.00	660.00	34.00	0.05	0.14	67.00	77.00	83.00	87.00	1	0.00	0.00	0.00	0.00	0.65	0.10	AGRR
85	85	CUCM	4	Cucumber	30.00	0.27	1.50	0.15	0.05	0.50	0.95	0.60	0.50	1.20	32.00	16.00	0.02	4.3e-03	0.06	7.5e-03	4.8e-03	5.3e-03	2.5e-03	1.2e-03	0.25	0.03	3.0e-03	4.00	0.75	8.00	660.00	39.00	0.05	0.14	67.00	77.00	83.00	87.00	1	0.00	0.00	0.00	0.00	0.65	0.10	AGRR
86	86	EGGP	4	Eggplant	30.00	0.59	3.00	0.15	0.05	0.50	0.95	0.60	0.50	1.20	26.00	15.00	0.02	4.1e-03	0.06	0.02	7.5e-03	5.3e-03	2.0e-03	1.5e-03	0.25	0.03	6.0e-03	4.00	0.75	8.00	660.00	39.00	0.05	0.14	67.00	77.00	83.00	87.00	1	0.00	0.00	0.00	0.00	0.65	0.10	AGRR
87	87	CANT	4	Cantaloupe	30.00	0.50	3.00	0.15	0.05	0.50	0.95	0.60	0.50	1.20	35.00	15.00	0.01	1.7e-03	0.06	0.02	0.01	5.3e-03	2.0e-03	1.2e-03	0.25	0.03	6.0e-03	4.00	0.75	3.00	660.00	39.00	0.05	0.14	67.00	77.00	83.00	87.00	1	0.00	0.00	0.00	0.00	0.65	0.10	AGRR
88	88	HMEL	4	Honeydew Melon	30.00	0.55	4.00	0.15	0.05	0.50	0.95	0.60	0.50	1.20	35.00	16.00	7.1e-03	1.0e-03	7.0e-03	4.0e-03	2.0e-03	2.6e-03	2.0e-03	1.7e-03	0.25	0.03	6.0e-03	4.00	0.75	3.00	660.00	39.00	0.05	0.14	67.00	77.00	83.00	87.00	1	0.00	0.00	0.00	0.00	0.65	0.10	AGRR
89	89	WMEL	4	Watermelon	30.00	0.50	1.50	0.15	0.05	0.50	0.95	0.60	0.50	2.00	35.00	18.00	0.01	1.1e-03	0.06	7.5e-03	4.8e-03	5.3e-03	2.5e-03	1.2e-03	0.25	0.03	6.0e-03	4.00	0.75	3.00	660.00	39.00	0.05	0.14	67.00	77.00	83.00	87.00	1	0.00	0.00	0.00	0.00	0.65	0.10	AGRR
90	90	PEPR	4	Bell Pepper	30.00	0.60	5.00	0.15	0.05	0.50	0.95	0.60	0.50	1.20	27.00	18.00	0.01	3.0e-03	0.06	0.03	0.02	5.3e-03	2.0e-03	1.2e-03	0.25	0.03	5.0e-03	4.00	0.75	8.00	660.00	39.00	0.05	0.14	67.00	77.00	83.00	87.00	1	0.00	0.00	0.00	0.00	0.65	0.10	AGRR
91	91	STRW	6	Strawberry	30.00	0.45	3.00	0.15	0.05	0.50	0.95	0.60	0.50	0.60	32.00	10.00	0.01	2.3e-03	0.06	0.02	0.01	5.3e-03	2.0e-03	1.2e-03	0.25	0.03	6.0e-03	4.00	0.75	8.00	660.00	39.00	0.05	0.14	67.00	77.00	83.00	87.00	1	0.00	0.00	0.00	0.00	0.65	0.10	AGRR
92	92	TOMA	4	Tomato	30.00	0.33	3.00	0.15	0.05	0.50	0.95	0.95	0.50	2.00	22.00	10.00	0.02	4.8e-03	0.06	0.03	0.02	5.3e-03	3.5e-03	2.5e-03	0.15	0.03	8.0e-03	4.00	0.75	8.00	660.00	39.00	0.05	0.14	67.00	77.00	83.00	87.00	1	0.00	0.00	0.00	0.00	0.65	0.10	AGRR
93	93	APPL	7	Apple	15.00	0.10	4.00	0.10	0.15	0.50	0.75	0.99	3.50	2.00	20.00	7.00	1.9e-03	4.0e-04	6.0e-03	2.0e-03	1.5e-03	7.0e-04	4.0e-04	3.0e-04	0.05	1.0e-03	7.0e-03	4.00	0.75	3.00	660.00	20.00	0.05	0.14	45.00	66.00	77.00	83.00	1	0.75	0.30	10.00	500.00	0.65	0.10	AGRR
94	94	PINE	7	Pine	15.00	0.76	5.00	0.15	0.70	0.25	0.99	0.99	10.00	3.50	30.00	0.00	1.5e-03	3.0e-04	6.0e-03	2.0e-03	1.5e-03	7.0e-04	4.0e-04	3.0e-04	0.60	1.0e-03	2.0e-03	4.00	0.75	8.00	660.00	16.00	0.05	0.14	25.00	55.00	70.00	77.00	0	0.75	0.30	50.00	1000.00	0.65	0.10	AGRR
95	95	OAK	7	Oak	15.00	0.76	5.00	0.05	0.05	0.40	0.95	0.99	6.00	3.50	30.00	10.00	1.5e-03	3.0e-04	6.0e-03	2.0e-03	1.5e-03	7.0e-04	4.0e-04	3.0e-04	0.01	1.0e-03	2.0e-03	4.00	0.75	8.00	660.00	16.00	0.05	0.14	45.00	66.00	77.00	83.00	0	0.75	0.30	50.00	1000.00	0.65	0.10	AGRR
96	96	POPL	7	Poplar	30.00	0.76	5.00	0.05	0.05	0.40	0.95	0.99	7.50	3.50	30.00	10.00	1.5e-03	3.0e-04	6.0e-03	2.0e-03	1.5e-03	7.0e-04	4.0e-04	3.0e-04	0.01	1.0e-03	4.0e-03	4.00	0.75	8.00	660.00	31.00	0.05	0.14	45.00	66.00	77.00	83.00	0	0.75	0.30	10.00	200.00	0.45	0.10	AGRR
97	97	MESQ	7	Honey Mesquite	16.10	0.05	1.25	0.05	0.05	0.40	0.95	0.99	6.00	3.50	30.00	10.00	1.5e-03	3.0e-04	0.02	0.01	8.0e-03	7.0e-04	4.0e-04	3.0e-04	0.01	1.0e-03	4.0e-03	4.00	0.75	8.00	660.00	18.00	0.05	0.14	45.00	66.00	77.00	83.00	0	0.75	0.30	10.00	50.00	0.61	0.10	AGRR
98	98	GRAP	7	Vineyard	30.00	0.02	2.00	0.05	0.01	0.50	0.95	0.90	2.00	2.00	30.00	10.00	0.02	2.5e-03	0.01	4.0e-03	3.0e-03	1.4e-03	8.0e-04	6.0e-04	0.01	0.10	5.0e-03	1.10	0.75	8.00	660.00	40.00	0.05	0.14	45.00	66.00	77.00	83.00	1	0.01	0.30	2.00	1.00	0.65	0.10	AGRR
99	99	WBAR	5	Winter Barley	30.00	0.54	4.00	0.05	0.05	0.45	0.95	0.90	0.90	1.30	18.00	0.00	0.02	2.2e-03	0.06	0.02	0.01	5.3e-03	2.0e-03	1.2e-03	0.20	0.03	5.6e-03	4.00	0.75	6.00	660.00	39.00	0.05	0.14	62.00	73.00	81.00	84.00	1	0.00	0.00	0.00	0.00	0.65	0.10	AGRR
100	100	OILP	7	Oil Palm	12.00	0.18	5.00	0.10	0.15	0.50	0.75	0.99	3.50	2.00	20.00	7.00	1.9e-03	4.0e-04	6.0e-03	2.0e-03	1.5e-03	7.0e-04	4.0e-04	3.0e-04	0.05	1.0e-03	7.1e-03	4.00	0.75	3.00	660.00	20.00	0.05	0.14	45.00	66.00	77.00	83.00	0	0.75	0.30	10.00	500.00	0.65	0.10	AGRR
101	101	RUBR	7	Rubber Trees	5.60	0.90	2.60	0.10	0.15	0.50	0.75	0.99	3.50	2.00	20.00	7.00	1.9e-03	4.0e-04	6.0e-03	2.0e-03	1.5e-03	7.0e-04	4.0e-04	3.0e-04	0.05	1.0e-03	7.1e-03	4.00	0.75	3.00	660.00	20.00	0.05	0.14	45.00	66.00	77.00	83.00	0	0.75	0.30	10.00	500.00	0.65	0.10	AGRR
102	102	BANA	7	Bananas	30.00	0.44	4.50	0.05	0.05	0.40	0.95	0.99	7.50	3.50	30.00	10.00	6.4e-03	8.0e-04	0.06	0.03	0.01	3.0e-03	2.0e-03	1.0e-03	0.01	1.0e-03	3.6e-03	4.00	0.75	8.00	660.00	31.00	0.05	0.14	45.00	66.00	77.00	83.00	1	0.75	0.30	10.00	200.00	0.45	0.10	AGRR
103	103	TEFF	5	Eragrostis Teff	35.00	0.23	3.00	0.15	0.05	0.50	0.95	0.90	0.90	2.00	18.00	0.00	0.02	3.3e-03	0.06	0.02	0.01	8.4e-03	3.2e-03	1.9e-03	0.20	0.03	5.6e-03	4.00	0.75	8.00	660.00	46.00	0.05	0.14	62.00	73.00	81.00	84.00	1	0.00	0.00	0.00	0.00	0.65	0.10	AGRR
104	104	COFF	7	Coffee	10.00	0.15	1.35	0.05	0.05	0.40	0.95	0.99	2.00	2.00	30.00	10.00	1.5e-03	3.0e-04	0.02	0.01	8.0e-03	7.0e-04	4.0e-04	3.0e-04	0.01	1.0e-03	3.6e-03	4.00	0.75	8.00	660.00	18.00	0.05	0.14	45.00	66.00	77.00	83.00	1	0.75	0.30	10.00	50.00	0.61	0.10	AGRR
105	105	PTBN	1	Pinto Beans	25.00	0.30	1.50	0.15	0.05	0.50	0.95	0.90	0.80	1.70	25.00	10.00	0.06	9.1e-03	0.05	0.02	0.02	7.4e-03	3.7e-03	3.5e-03	0.01	0.20	7.1e-03	4.00	0.75	8.00	660.00	34.00	0.05	0.14	67.00	78.00	85.00	89.00	0	0.00	0.00	0.00	0.00	0.45	0.10	AGRR
106	106	ALMD	7	Almonds	16.10	0.05	1.20	0.05	0.05	0.40	0.95	0.99	6.00	3.50	30.00	10.00	1.5e-03	3.0e-04	0.02	0.01	8.0e-03	7.0e-04	4.0e-04	3.0e-04	0.01	1.0e-03	3.6e-03	4.00	0.75	8.00	660.00	18.00	0.05	0.14	45.00	66.00	77.00	83.00	1	0.75	0.30	10.00	50.00	0.61	0.10	AGRR
107	107	GRAR	7	Grarigue	16.10	0.05	2.00	0.05	0.05	0.40	0.95	0.99	6.00	3.50	30.00	10.00	1.5e-03	3.0e-04	0.02	0.01	8.0e-03	7.0e-04	4.0e-04	3.0e-04	0.01	1.0e-03	3.6e-03	4.00	0.75	8.00	660.00	18.00	0.05	0.14	39.00	61.00	74.00	80.00	0	0.75	0.30	10.00	50.00	0.61	0.10	AGRR
108	108	OLIV	7	Olives	16.10	0.05	0.80	0.05	0.05	0.40	0.95	0.99	6.00	3.50	30.00	10.00	1.5e-03	3.0e-04	0.02	0.01	8.0e-03	7.0e-04	4.0e-04	3.0e-04	0.01	1.0e-03	3.6e-03	4.00	0.75	8.00	660.00	18.00	0.05	0.14	45.00	66.00	77.00	83.00	1	0.75	0.30	10.00	50.00	0.61	0.10	AGRR
109	109	ORAN	7	Orange	15.00	0.14	2.00	0.10	0.15	0.50	0.75	0.99	3.50	2.00	20.00	7.00	1.9e-03	4.0e-04	6.0e-03	2.0e-03	1.5e-03	7.0e-04	4.0e-04	3.0e-04	0.09	1.0e-03	5.0e-03	4.00	3.00	3.00	660.00	20.00	0.05	0.15	45.00	66.00	77.00	83.00	1	0.01	0.30	10.00	30.00	0.65	0.10	AGRR
110	110	SEPT	6	Septic Area	35.00	0.90	4.00	0.05	0.05	0.49	0.95	0.99	0.50	2.00	25.00	12.00	0.02	3.3e-03	0.06	0.02	0.01	8.4e-03	3.2e-03	1.9e-03	0.90	3.0e-03	5.0e-03	4.00	0.75	10.00	660.00	36.00	0.05	0.10	31.00	59.00	72.00	79.00	0	0.00	0.00	0.00	0.00	1.00	0.10	AGRR
111	111	COCO	7	Coconut	24.00	0.56	5.00	0.15	0.70	0.25	0.99	0.99	10.00	3.50	30.00	0.00	1.5e-03	3.0e-04	6.0e-03	2.0e-03	1.5e-03	7.0e-04	4.0e-04	3.0e-04	0.60	1.0e-03	1.9e-03	4.00	0.75	8.00	660.00	16.00	0.05	0.14	45.00	66.00	77.00	83.00	1	0.75	0.30	30.00	1000.00	0.65	0.10	AGRR
