OBJECTID	ICNUM	CPNM	IDC	CROPNAME	BIO_E	HVSTI	BLAI	FRGRW1	LAIMX1	FRGRW2	LAIMX2	DLAI	CHTMX	RDMX	T_OPT	T_BASE	CNYLD	CPYLD	BN1	BN2	BN3	BP1	BP2	BP3	WSYF	USLE_C	GSI	VPDFR	FRGMAX	WAVP	CO2HI	BIOEHI	RSDCO_PL	OV_N	CN2A	CN2B	CN2C	CN2D	FERTFIELD	ALAI_MIN	BIO_LEAF	MAT_YRS	BMX_TREES	EXT_COEF	BM_DIEOFF	OpSchedule
14	14	WPAS	6	Winter Pasture	30.00	0.90	4.00	0.15	0.01	0.50	0.95	0.80	1.50	2.00	15.00	0.00	0.02	3.3e-03	0.05	0.02	0.01	9.9e-03	2.2e-03	1.9e-03	0.90	3.0e-03	5.0e-03	4.00	0.75	8.00	660.00	39.00	0.05	0.15	49.00	69.00	79.00	84.00	0	0.00	0.00	0.00	0.00	0.65	0.10	AGRR
15	15	RNGE	6	Range-Grasses	34.00	0.90	2.50	0.05	0.10	0.25	0.70	0.35	1.00	2.00	25.00	12.00	0.01	2.2e-03	0.02	0.01	5.0e-03	1.4e-03	1.0e-03	7.0e-04	0.90	3.0e-03	5.0e-03	4.00	0.75	10.00	660.00	39.00	0.05	0.15	49.00	69.00	79.00	84.00	0	0.00	0.00	0.00	0.00	0.33	0.10	RNGE
16	16	RNGB	6	Range-Brush	34.00	0.90	2.00	0.05	0.10	0.25	0.70	0.35	1.00	2.00	25.00	12.00	0.01	2.2e-03	0.02	0.01	5.0e-03	1.4e-03	1.0e-03	7.0e-04	0.90	3.0e-03	5.0e-03	4.00	0.75	10.00	660.00	39.00	0.05	0.15	39.00	61.00	74.00	80.00	0	0.00	0.00	0.00	0.00	0.33	0.10	RNGB
17	17	SWRN	6	Southwestern US (Arid) Range	34.00	0.90	1.50	0.05	0.10	0.25	0.70	0.35	1.00	2.00	25.00	12.00	0.01	2.2e-03	0.02	0.01	5.0e-03	1.4e-03	1.0e-03	7.0e-04	0.90	3.0e-03	5.0e-03	4.00	0.75	10.00	660.00	39.00	0.05	0.15	39.00	61.00	74.00	80.00	0	0.00	0.00	0.00	0.00	0.33	0.10	SWRN
18	18	WATR	6	Water	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	92.00	92.00	92.00	92.00	0	0.00	0.00	0.00	0.00	0.00	0.10	WATR
19	19	CORN	4	Corn	39.00	0.50	6.00	0.15	0.05	0.50	0.95	0.70	2.50	2.00	25.00	8.00	0.01	1.6e-03	0.04	0.01	0.01	4.8e-03	1.8e-03	1.4e-03	0.30	0.20	7.0e-03	4.00	0.75	7.20	660.00	45.00	0.05	0.14	67.00	77.00	83.00	87.00	1	0.00	0.00	0.00	0.00	0.65	0.10	AGRR
20	20	CSIL	4	Corn Silage	39.00	0.90	4.00	0.15	0.05	0.50	0.95	0.70	2.50	2.00	25.00	8.00	0.01	1.6e-03	0.04	0.01	0.01	4.8e-03	1.8e-03	1.4e-03	0.90	0.20	7.0e-03	4.00	0.75	7.20	660.00	45.00	0.05	0.14	67.00	77.00	83.00	87.00	1	0.00	0.00	0.00	0.00	0.65	0.10	AGRR
21	21	SCRN	4	Sweet Corn	39.00	0.50	2.50	0.15	0.05	0.50	0.95	0.50	2.50	2.00	24.00	12.00	0.02	3.7e-03	0.04	0.01	0.01	4.8e-03	1.8e-03	1.4e-03	0.30	0.20	7.0e-03	4.00	0.75	7.20	660.00	45.00	0.05	0.14	67.00	77.00	83.00	87.00	1	0.00	0.00	0.00	0.00	0.65	0.10	AGRR
22	22	EGAM	6	Eastern Gamagrass	21.00	0.90	2.50	0.05	0.18	0.25	0.90	0.40	1.70	2.00	25.00	12.00	0.01	2.2e-03	0.02	0.01	7.0e-03	1.4e-03	1.0e-03	7.0e-04	0.90	3.0e-03	5.0e-03	4.00	0.75	10.00	660.00	58.00	0.05	0.10	31.00	59.00	72.00	79.00	0	0.00	0.00	0.00	0.00	0.31	0.10	AGRR
23	23	GRSG	4	Grain Sorghum	33.50	0.45	3.00	0.15	0.05	0.50	0.95	0.64	1.00	2.00	30.00	11.00	0.01	3.2e-03	0.04	0.01	0.01	6.0e-03	2.2e-03	1.8e-03	0.25	0.20	5.0e-03	4.00	0.75	8.50	660.00	36.00	0.05	0.14	67.00	77.00	83.00	87.00	1	0.00	0.00	0.00	0.00	0.65	0.10	AGRR
24	24	SGHY	4	Sorghum Hay	33.50	0.90	4.00	0.15	0.05	0.50	0.95	0.64	1.50	2.00	30.00	11.00	0.01	3.2e-03	0.04	0.01	0.01	6.0e-03	2.2e-03	1.8e-03	0.90	0.20	5.0e-03	4.00	0.75	8.50	660.00	36.00	0.05	0.14	67.00	77.00	83.00	87.00	1	0.00	0.00	0.00	0.00	0.65	0.10	AGRR
