SID	SUBBASIN	HRU	LANDUSE	SOIL	SLOPE_CD	CROP	YEAR	MONTH	DAY	HUSC	MGT_OP	HEATUNITS	PLANT_ID	CURYR_MAT	LAI_INIT	BIO_INIT	HI_TARG	BIO_TARG	CNOP	IRR_AMT	FERT_ID	FRT_KG	FRT_SURFACE	PEST_ID	PST_KG	TILLAGE_ID	HARVEFF	HI_OVR	GRZ_DAYS	MANURE_ID	BIO_EAT	BIO_TRMP	MANURE_KG	WSTRS_ID	AUTO_WSTRS	AFERT_ID	AUTO_NSTRS	AUTO_NAPP	AUTO_NYR	AUTO_EFF	AFRT_SURFACE	SWEEPEFF	FR_CURB	IMP_TRIG	FERT_DAYS	CFRT_ID	IFRT_FREQ	CFRT_KG	PST_DEP	IHV_GBM	IRR_SALT	IRR_EFM	IRR_SQ	IRR_EFF	IRR_MX	IRR_ASQ	CPST_ID	PEST_DAYS	IPEST_FREQ	CPST_KG	BURN_FRLB	OP_NUM	IRR_SC	IRR_NO	IRR_SCA	IRR_NOA
UCOM	-999.00	-999.00	UCOM	-999	-999		1			1.20	5	0.00	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0	0.00	0.00	0	0.00	0	0.00	0.00	0	0	0.00	0.00	0.00	1	0.00	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	1	0	0.00	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	1	0	0	0.00	0.00	3	0	0	0	0
UIDU	-999.00	-999.00	UIDU	-999	-999	BERM	1			0.15	1	1800.00	40	0	0.00	0.00	0.00	0.00	0.00	0.00	0	0.00	0.00	0	0.00	0	0.00	0.00	0	0	0.00	0.00	0.00	1	0.00	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	1	0	0.00	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	1	0	0	0.00	0.00	1	0	0	0	0
UIDU	-999.00	-999.00	UIDU	-999	-999		1			9.99999977648258e-03	11	0.00	40	0	0.00	0.00	0.00	0.00	0.00	0.00	0	0.00	0.00	0	0.00	0	0.00	0.00	0	0	0.00	0.00	0.00	1	0.00	1	0.75	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	1	0	0.00	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	1	0	0	0.00	0.00	2	0	0	0	0
UIDU	-999.00	-999.00	UIDU	-999	-999		1			1.20	5	0.00	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0	0.00	0.00	0	0.00	0	0.00	0.00	0	0	0.00	0.00	0.00	1	0.00	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	1	0	0.00	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	1	0	0	0.00	0.00	3	0	0	0	0
UINS	-999.00	-999.00	UINS	-999	-999	BERM	1			0.15	1	1800.00	40	0	0.00	0.00	0.00	0.00	0.00	0.00	0	0.00	0.00	0	0.00	0	0.00	0.00	0	0	0.00	0.00	0.00	1	0.00	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	1	0	0.00	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	1	0	0	0.00	0.00	1	0	0	0	0
UINS	-999.00	-999.00	UINS	-999	-999		1			9.99999977648258e-03	11	0.00	40	0	0.00	0.00	0.00	0.00	0.00	0.00	0	0.00	0.00	0	0.00	0	0.00	0.00	0	0	0.00	0.00	0.00	1	0.00	1	0.75	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	1	0	0.00	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	1	0	0	0.00	0.00	2	0	0	0	0
UINS	-999.00	-999.00	UINS	-999	-999		1			1.20	5	0.00	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0	0.00	0.00	0	0.00	0	0.00	0.00	0	0	0.00	0.00	0.00	1	0.00	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	1	0	0.00	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	1	0	0	0.00	0.00	3	0	0	0	0
URBN	-999.00	-999.00	URBN	-999	-999	BERM	1			0.15	1	1800.00	40	0	0.00	0.00	0.00	0.00	0.00	0.00	0	0.00	0.00	0	0.00	0	0.00	0.00	0	0	0.00	0.00	0.00	1	0.00	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	1	0	0.00	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	1	0	0	0.00	0.00	1	0	0	0	0
URBN	-999.00	-999.00	URBN	-999	-999		1			9.99999977648258e-03	11	0.00	40	0	0.00	0.00	0.00	0.00	0.00	0.00	0	0.00	0.00	0	0.00	0	0.00	0.00	0	0	0.00	0.00	0.00	1	0.00	1	0.75	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	1	0	0.00	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	1	0	0	0.00	0.00	2	0	0	0	0
URBN	-999.00	-999.00	URBN	-999	-999		1			1.20	5	0.00	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0	0.00	0.00	0	0.00	0	0.00	0.00	0	0	0.00	0.00	0.00	1	0.00	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	1	0	0.00	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	1	0	0	0.00	0.00	3	0	0	0	0
URHD	-999.00	-999.00	URHD	-999	-999	BERM	1			0.15	1	1800.00	40	0	0.00	0.00	0.00	0.00	0.00	0.00	0	0.00	0.00	0	0.00	0	0.00	0.00	0	0	0.00	0.00	0.00	1	0.00	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	1	0	0.00	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	1	0	0	0.00	0.00	1	0	0	0	0
URHD	-999.00	-999.00	URHD	-999	-999		1			9.99999977648258e-03	11	0.00	40	0	0.00	0.00	0.00	0.00	0.00	0.00	0	0.00	0.00	0	0.00	0	0.00	0.00	0	0	0.00	0.00	0.00	1	0.00	1	0.75	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	1	0	0.00	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	1	0	0	0.00	0.00	2	0	0	0	0
URHD	-999.00	-999.00	URHD	-999	-999		1			1.20	5	0.00	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0	0.00	0.00	0	0.00	0	0.00	0.00	0	0	0.00	0.00	0.00	1	0.00	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	1	0	0.00	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	1	0	0	0.00	0.00	3	0	0	0	0
URLD	-999.00	-999.00	URLD	-999	-999	BERM	1			0.15	1	1800.00	40	0	0.00	0.00	0.00	0.00	0.00	0.00	0	0.00	0.00	0	0.00	0	0.00	0.00	0	0	0.00	0.00	0.00	1	0.00	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	1	0	0.00	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	1	0	0	0.00	0.00	1	0	0	0	0
URLD	-999.00	-999.00	URLD	-999	-999		1			9.99999977648258e-03	11	0.00	40	0	0.00	0.00	0.00	0.00	0.00	0.00	0	0.00	0.00	0	0.00	0	0.00	0.00	0	0	0.00	0.00	0.00	1	0.00	1	0.75	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	1	0	0.00	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	1	0	0	0.00	0.00	2	0	0	0	0
URLD	-999.00	-999.00	URLD	-999	-999		1			1.20	5	0.00	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0	0.00	0.00	0	0.00	0	0.00	0.00	0	0	0.00	0.00	0.00	1	0.00	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	1	0	0.00	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	1	0	0	0.00	0.00	3	0	0	0	0
URMD	-999.00	-999.00	URMD	-999	-999	BERM	1			0.15	1	1800.00	40	0	0.00	0.00	0.00	0.00	0.00	0.00	0	0.00	0.00	0	0.00	0	0.00	0.00	0	0	0.00	0.00	0.00	1	0.00	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	1	0	0.00	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	1	0	0	0.00	0.00	1	0	0	0	0
URMD	-999.00	-999.00	URMD	-999	-999		1			9.99999977648258e-03	11	0.00	40	0	0.00	0.00	0.00	0.00	0.00	0.00	0	0.00	0.00	0	0.00	0	0.00	0.00	0	0	0.00	0.00	0.00	1	0.00	1	0.75	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	1	0	0.00	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	1	0	0	0.00	0.00	2	0	0	0	0
URMD	-999.00	-999.00	URMD	-999	-999		1			1.20	5	0.00	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0	0.00	0.00	0	0.00	0	0.00	0.00	0	0	0.00	0.00	0.00	1	0.00	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	1	0	0.00	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	1	0	0	0.00	0.00	3	0	0	0	0
URML	-999.00	-999.00	URML	-999	-999	BERM	1			0.15	1	1800.00	40	0	0.00	0.00	0.00	0.00	0.00	0.00	0	0.00	0.00	0	0.00	0	0.00	0.00	0	0	0.00	0.00	0.00	1	0.00	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	1	0	0.00	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	1	0	0	0.00	0.00	1	0	0	0	0
URML	-999.00	-999.00	URML	-999	-999		1			9.99999977648258e-03	11	0.00	40	0	0.00	0.00	0.00	0.00	0.00	0.00	0	0.00	0.00	0	0.00	0	0.00	0.00	0	0	0.00	0.00	0.00	1	0.00	1	0.75	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	1	0	0.00	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	1	0	0	0.00	0.00	2	0	0	0	0
URML	-999.00	-999.00	URML	-999	-999		1			1.20	5	0.00	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0	0.00	0.00	0	0.00	0	0.00	0.00	0	0	0.00	0.00	0.00	1	0.00	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	1	0	0.00	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	1	0	0	0.00	0.00	3	0	0	0	0
UTRN	-999.00	-999.00	UTRN	-999	-999	BERM	1			0.15	1	1800.00	40	0	0.00	0.00	0.00	0.00	0.00	0.00	0	0.00	0.00	0	0.00	0	0.00	0.00	0	0	0.00	0.00	0.00	1	0.00	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	1	0	0.00	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	1	0	0	0.00	0.00	1	0	0	0	0
UTRN	-999.00	-999.00	UTRN	-999	-999		1			9.99999977648258e-03	11	0.00	40	0	0.00	0.00	0.00	0.00	0.00	0.00	0	0.00	0.00	0	0.00	0	0.00	0.00	0	0	0.00	0.00	0.00	1	0.00	1	0.75	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	1	0	0.00	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	1	0	0	0.00	0.00	2	0	0	0	0
UTRN	-999.00	-999.00	UTRN	-999	-999		1			1.20	5	0.00	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0	0.00	0.00	0	0.00	0	0.00	0.00	0	0	0.00	0.00	0.00	1	0.00	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	1	0	0.00	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	1	0	0	0.00	0.00	3	0	0	0	0
WATR	-999.00	-999.00	WATR	-999	-999	WATR	1			0.15	1	1800.00	18	0	0.00	0.00	0.00	0.00	0.00	0.00	0	0.00	0.00	0	0.00	0	0.00	0.00	0	0	0.00	0.00	0.00	1	0.00	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	1	0	0.00	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	1	0	0	0.00	0.00	1	0	0	0	0
WATR	-999.00	-999.00	WATR	-999	-999		1			1.20	5	0.00	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0	0.00	0.00	0	0.00	0	0.00	0.00	0	0	0.00	0.00	0.00	1	0.00	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	1	0	0.00	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	1	0	0	0.00	0.00	2	0	0	0	0
WETL	-999.00	-999.00	WETL	-999	-999	WETL	1			0.15	1	1800.00	9	0	0.00	0.00	0.00	0.00	0.00	0.00	0	0.00	0.00	0	0.00	0	0.00	0.00	0	0	0.00	0.00	0.00	1	0.00	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	1	0	0.00	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	1	0	0	0.00	0.00	1	0	0	0	0
WETL	-999.00	-999.00	WETL	-999	-999		1			1.20	5	0.00	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0	0.00	0.00	0	0.00	0	0.00	0.00	0	0	0.00	0.00	0.00	1	0.00	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	1	0	0.00	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	1	0	0	0.00	0.00	2	0	0	0	0
WETF	-999.00	-999.00	WETF	-999	-999	WETF	1			0.15	1	1800.00	10	0	0.00	0.00	0.00	0.00	0.00	0.00	0	0.00	0.00	0	0.00	0	0.00	0.00	0	0	0.00	0.00	0.00	1	0.00	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	1	0	0.00	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	1	0	0	0.00	0.00	1	0	0	0	0
WETF	-999.00	-999.00	WETF	-999	-999		1			1.20	5	0.00	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0	0.00	0.00	0	0.00	0	0.00	0.00	0	0	0.00	0.00	0.00	1	0.00	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	1	0	0.00	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	1	0	0	0.00	0.00	2	0	0	0	0
WETN	-999.00	-999.00	WETN	-999	-999	WETN	1			0.15	1	1800.00	11	0	0.00	0.00	0.00	0.00	0.00	0.00	0	0.00	0.00	0	0.00	0	0.00	0.00	0	0	0.00	0.00	0.00	1	0.00	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	1	0	0.00	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	1	0	0	0.00	0.00	1	0	0	0	0
WETN	-999.00	-999.00	WETN	-999	-999		1			1.20	5	0.00	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0	0.00	0.00	0	0.00	0	0.00	0.00	0	0	0.00	0.00	0.00	1	0.00	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	1	0	0.00	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	1	0	0	0.00	0.00	2	0	0	0	0
RNGB	-999.00	-999.00	RNGB	-999	-999	RNGB	1			0.15	1	1800.00	16	0	0.00	0.00	0.00	0.00	0.00	0.00	0	0.00	0.00	0	0.00	0	0.00	0.00	0	0	0.00	0.00	0.00	1	0.00	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	1	0	0.00	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	1	0	0	0.00	0.00	1	0	0	0	0
RNGB	-999.00	-999.00	RNGB	-999	-999		1			1.20	5	0.00	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0	0.00	0.00	0	0.00	0	0.00	0.00	0	0	0.00	0.00	0.00	1	0.00	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	1	0	0.00	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	1	0	0	0.00	0.00	2	0	0	0	0
