SID	SUBBASIN	HRU	LANDUSE	SOIL	SLOPE_CD	CROP	YEAR	MONTH	DAY	HUSC	MGT_OP	HEATUNITS	PLANT_ID	CURYR_MAT	LAI_INIT	BIO_INIT	HI_TARG	BIO_TARG	CNOP	IRR_AMT	FERT_ID	FRT_KG	FRT_SURFACE	PEST_ID	PST_KG	TILLAGE_ID	HARVEFF	HI_OVR	GRZ_DAYS	MANURE_ID	BIO_EAT	BIO_TRMP	MANURE_KG	WSTRS_ID	AUTO_WSTRS	AFERT_ID	AUTO_NSTRS	AUTO_NAPP	AUTO_NYR	AUTO_EFF	AFRT_SURFACE	SWEEPEFF	FR_CURB	IMP_TRIG	FERT_DAYS	CFRT_ID	IFRT_FREQ	CFRT_KG	PST_DEP	IHV_GBM	IRR_SALT	IRR_EFM	IRR_SQ	IRR_EFF	IRR_MX	IRR_ASQ	CPST_ID	PEST_DAYS	IPEST_FREQ	CPST_KG	BURN_FRLB	OP_NUM	IRR_SC	IRR_NO	IRR_SCA	IRR_NOA
HAY	-999.00	-999.00	HAY	-999	-999		1			9.99999977648258e-03	11	0.00	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0	0.00	0.00	0	0.00	0	0.00	0.00	0	0	0.00	0.00	0.00	1	0.00	1	0.75	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	1	0	0.00	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	1	0	0	0.00	0.00	2	0	0	0	0
HAY	-999.00	-999.00	HAY	-999	-999		1			0.60	7	0.00	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0	0.00	0.00	0	0.00	0	0.00	0.00	0	0	0.00	0.00	0.00	1	0.00	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	1	0	0.00	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	1	0	0	0.00	0.00	3	0	0	0	0
HAY	-999.00	-999.00	HAY	-999	-999		1			0.85	7	0.00	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0	0.00	0.00	0	0.00	0	0.00	0.00	0	0	0.00	0.00	0.00	1	0.00	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	1	0	0.00	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	1	0	0	0.00	0.00	4	0	0	0	0
HAY	-999.00	-999.00	HAY	-999	-999		1			1.20	5	0.00	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0	0.00	0.00	0	0.00	0	0.00	0.00	0	0	0.00	0.00	0.00	1	0.00	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	1	0	0.00	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	1	0	0	0.00	0.00	5	0	0	0	0
PAST	-999.00	-999.00	PAST	-999	-999	PAST	1			0.15	1	1800.00	12	0	0.00	0.00	0.00	0.00	0.00	0.00	0	0.00	0.00	0	0.00	0	0.00	0.00	0	0	0.00	0.00	0.00	1	0.00	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	1	0	0.00	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	1	0	0	0.00	0.00	1	0	0	0	0
PAST	-999.00	-999.00	PAST	-999	-999		1			1.20	5	0.00	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0	0.00	0.00	0	0.00	0	0.00	0.00	0	0	0.00	0.00	0.00	1	0.00	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	1	0	0.00	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	1	0	0	0.00	0.00	2	0	0	0	0
RNGE	-999.00	-999.00	RNGE	-999	-999	RNGE	1			0.15	1	1800.00	15	0	0.00	0.00	0.00	0.00	0.00	0.00	0	0.00	0.00	0	0.00	0	0.00	0.00	0	0	0.00	0.00	0.00	1	0.00	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	1	0	0.00	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	1	0	0	0.00	0.00	1	0	0	0	0
RNGE	-999.00	-999.00	RNGE	-999	-999		1			1.20	5	0.00	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0	0.00	0.00	0	0.00	0	0.00	0.00	0	0	0.00	0.00	0.00	1	0.00	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	1	0	0.00	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	1	0	0	0.00	0.00	2	0	0	0	0
SWRN	-999.00	-999.00	SWRN	-999	-999	SWRN	1			0.15	1	1800.00	17	0	0.00	0.00	0.00	0.00	0.00	0.00	0	0.00	0.00	0	0.00	0	0.00	0.00	0	0	0.00	0.00	0.00	1	0.00	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	1	0	0.00	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	1	0	0	0.00	0.00	1	0	0	0	0
SWRN	-999.00	-999.00	SWRN	-999	-999		1			1.20	5	0.00	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0	0.00	0.00	0	0.00	0	0.00	0.00	0	0	0.00	0.00	0.00	1	0.00	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	1	0	0.00	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	1	0	0	0.00	0.00	2	0	0	0	0
UCOM	-999.00	-999.00	UCOM	-999	-999	BERM	1			0.15	1	1800.00	40	0	0.00	0.00	0.00	0.00	0.00	0.00	0	0.00	0.00	0	0.00	0	0.00	0.00	0	0	0.00	0.00	0.00	1	0.00	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	1	0	0.00	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	1	0	0	0.00	0.00	1	0	0	0	0
UCOM	-999.00	-999.00	UCOM	-999	-999		1			9.99999977648258e-03	11	0.00	40	0	0.00	0.00	0.00	0.00	0.00	0.00	0	0.00	0.00	0	0.00	0	0.00	0.00	0	0	0.00	0.00	0.00	1	0.00	1	0.75	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	1	0	0.00	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	1	0	0	0.00	0.00	2	0	0	0	0
