## Table title (columns are split by Tab!)
TYPE	NAME	DESCRIPTION	UNIT	MODULE	VALUE	IMPACT	CHANGE	MAX	MIN	USE
TEXT	TEXT	TEXT	TEXT	TEXT	REAL	REAL	VARCHAR(2)	REAL	REAL	VARCHAR(1)

Climate	DEM	Elevation of each grid cell	m	ALL	-99		NC			
Climate	K_pet	Correction factor for PET		ALL	1	0	AC	1.3	0.7	Y
Climate	HCoef_pet	Coefficient related to radiation used in Hargreaves method		PET_H	0.0023	1	RC	0.0032	0.0019	Y
Climate	Co2	CO2 Concentration	ppmv	ALL	330	1	RC	350	300	Y
Climate	Cond_rate	rate of decline in stomatal conductance	m/s/kPa	PET_PM	3.75		NC			
Climate	Cond_max	maximum stomatal conductance	m/s	PET_PM	0.005		NC			
Climate	Weight_P	Weight Coefficient of Precipitation		ALL	-999		NC			
Climate	Weight_T	Weight Coefficient of Temperature		ALL	-999		NC			
Climate	Weight_PET	Weight Coefficient of Potential Evapotranspiration		ALL	-999		NC			
Climate	esco	soil evaporation compensation factor		AET_PTH	0.95	1	RC	1	0.01	Y

Snow	T_snow	Snowfall temperature	deg C	ALL	0	0	AC	2	-2	Y
Snow	T0	Snowmelt temperature	deg C	ALL	1	0	AC	3	-1	Y
Snow	K_snow	Degree day coefficient	mm/deg C/day	SNO_DD	2	0	AC	5	0.5	Y
Snow	K_rain	Rainfall impact factor	mm/mm/deg C/day	SNO_DD	0	0	AC	1	0	Y
Snow	D_snow	Snow redistribution coefficient		SNO_DD	-99	1	RC	1.5	0.5	Y
Snow	curva_wind	Curvature along wind direction	%	SRD_MB	-99		NC			Y
Snow	k_curvature	Curvature coefficient in wind direction		SRD_MB	145	0	AC	500	0	Y
Snow	k_slope	Slope coefficient in wind direction		SRD_MB	60	0	AC	100	0	Y
Snow	shc	Snow holding capacity	m	SRD_MB	-99	1	RC	3	0.5	Y
Snow	slope_wind	Slope along wind direction	%	SRD_MB	-99		NC			Y
Snow	U0	Wind speed over Ut at which WWi=1	m/s	SRD_MB	10	0	AC	1	0.2	Y
Snow	Ut0	Threshold wind speed at -27 degree	m/s	SRD_MB	6.98	0	AC	10	4	Y
Snow	k_blow	fraction of precipitation as snow	None	SNO_SP	1	1	RC	1	0	Y
Snow	swe0	Initial snow water equivalent	mm	ALL	10	0	AC	300	0	Y
Snow	subbasin	subbasin identity		ALL	-99	0	NC	0	100	
Snow	shc_crop	snow holding capacity of cropland	mm	SRD_MB	50	0	NC	0.1	0	Y
Snow	T_wind	temperature at which wind transport of snow is most favorable	deg C	SRD_MB	-27.27	0	NC	-20	-35	Y
Snow	k_subli	Praction of PET for sublimation		SSM_PE	1	0	AC	5	0	Y
Snow	c_snow	temperature impact factor	mm/deg C/delta_t	SNO_DD	3	0	AC	6	0	Y
Snow	c_rain	Rainfall impact factor	mm/mm/deg C/delta_t	SNO_DD	0.04	0	AC	1	0	Y
Snow	lag_snow	Snow temperature lag factor		SNO_SP	0.8	0	AC	1	0	
Snow	c_snow6	Melt factor on June 21	mm/deg C/day	SNO_SP	2.5	0	AC	4	1	Y
Snow	c_snow12	Melt factor on December 21	mm/deg C/day	SNO_SP	6.5	0	AC	9	6	Y

Interception	Interc_max	Maximum Interception Capacity	mm	ALL	-99	1	RC	1.5	0.5	Y
Interception	Interc_min	Minimum Interception Capacity	mm	ALL	-99	1	RC	1.5	0.5	Y
Interception	Pi_b	Interception Storage Capacity Exponent		ALL	1.35	0	AC	1.5	0.5	Y
Interception	Init_IS	Initial interception storage	mm	ALL	0	0	AC	1	0	
Interception	BLAI	Leaf area index		PI_STORM	-99	1	RC	12	0	Y
Interception	CoverFrac	vegetation cover fraction		All	-99	1	RC	1	0	Y

WaterBalance	Depression	Depression storage capacity	mm	ALL	-99	1	RC	5	0.5	Y
WaterBalance	CN2	Curve number in condition II		ALL	-99	1	RC	1.3	0.7	
WaterBalance	Density	Soil bulk density	mg/cm3	ALL	-99	1	RC	1.2	0.8	
WaterBalance	Clay	Clay proportion		ALL	-99	1	RC	1.2	0.8	
WaterBalance	Sand	Sand proportion		ALL	-99	1	RC	1.2	0.8	
WaterBalance	WTI	Wetness index		SUR_SA	-99	1	RC	1.2	0.8	Y
WaterBalance	Slope	Slope	%	ALL	-99	1	RC	1.1	0.9	Y
WaterBalance	Wiltingpoint	Plant wilting point moisture	m3/m3	ALL	-99	1	RC	1.2	0.8	Y
WaterBalance	Poreindex	Pore size distribution index		ALL	-99	1	RC	1.2	0.8	Y
WaterBalance	Runoff_co	Potential runoff coefficient		SUR_MR	-99	1	RC	1	0.5	Y
WaterBalance	Conductivity	Soil hydraulic conductivity	mm/hr	ALL	-99	1	RC	10	0.1	Y
WaterBalance	Porosity	Soil porosity	m3/m3	ALL	-99	1	RC	1.2	0.8	Y
WaterBalance	Fieldcap	Soil field capacity	m3/m3	ALL	-99	1	RC	1.2	0.8	Y
WaterBalance	Moist_in	Initial soil moisture	m3/m3	ALL	-99	1	RC	1	0.8	Y
WaterBalance	soiltemp0	Initial soil temperature	deg C	SOI_EB	-99	1	RC	1.2	0.8	Y
WaterBalance	K_run	Runoff exponent when net rainfall approaches to zero		SUR_MR	2.5	0	AC	5	0	Y
WaterBalance	P_max	Maximum rainfall intensity when k_run = 1.0	mm	SUR_MR	30	0	AC	60	10	Y
WaterBalance	Depre_in	Initial depression storage coefficient		ALL	0	0	AC	1	0	Y
WaterBalance	Rootdepth	Root depth	m	ALL	-99	1	RC	1.5	0.2	Y
WaterBalance	soil_ta0	Empirical coefficient for estimating soil temperature	deg C	STP_FP	4.768	0	AC	10	0	Y
WaterBalance	soil_ta1	Empirical coefficient for estimating soil temperature		STP_FP	0.174	0	AC	1	0	Y
WaterBalance	soil_ta2	Empirical coefficient for estimating soil temperature		STP_FP	0.163	0	AC	1	0	Y
WaterBalance	soil_ta3	Empirical coefficient for estimating soil temperature		STP_FP	0.223	0	AC	1	0	Y
WaterBalance	soil_tb1	Empirical coefficient for estimating soil temperature	deg C	STP_FP	-1.361	0	AC	0	-5	Y
WaterBalance	soil_tb2	Empirical coefficient for estimating soil temperature	deg C	STP_FP	-3.762	0	AC	0	-5	Y
WaterBalance	soil_td1	Empirical coefficient for estimating soil temperature	deg C	STP_FP	0.057	0	AC	1	0	Y
WaterBalance	soil_td2	Empirical coefficient for estimating soil temperature	deg C	STP_FP	0.339	0	AC	1	0	Y
